V00	Pedestrian conveyance accident
    V121xxD	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter
	腳踏車乘客在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V121xxS	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela
	腳踏車乘客在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
 V122	Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
	腳踏車騎乘者在非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V122xxA	Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter
	腳踏車騎乘者在非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V122xxD	Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter
	腳踏車騎乘者在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V122xxS	Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela
	腳踏車騎乘者在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
 V123	Person boarding or alighting a pedal cycle injured in collision with two- or three-wheeled motor vehicle
	人員在上下腳踏車時與與兩輪或三輪機動車碰撞受傷
    V123xxA	Person boarding or alighting a pedal cycle injured in collision with two- or three-wheeled motor vehicle, initial encounter
	人員在上下腳踏車時與與兩輪或三輪機動車碰撞受傷之初期照護
    V123xxD	Person boarding or alighting a pedal cycle injured in collision with two- or three-wheeled motor vehicle, subsequent encounter
	人員在上下腳踏車時與與兩輪或三輪機動車碰撞受傷之後續照護
    V123xxS	Person boarding or alighting a pedal cycle injured in collision with two- or three-wheeled motor vehicle, sequela
	人員在上下腳踏車時與與兩輪或三輪機動車碰撞受傷之後遺症
 V124	Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident
	腳踏車騎士在交通意外事故中與兩輪或三輪機動車碰撞受傷
    V124xxA	Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter
	腳踏車騎士在交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V124xxD	Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter
	腳踏車騎士在交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V124xxS	Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela
	腳踏車騎士在交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
 V125	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident
	腳踏車乘客在交通意外事故中與兩輪或三輪機動車碰撞受傷
    V125xxA	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter
	腳踏車乘客在交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V125xxD	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter
	腳踏車乘客在交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V125xxS	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela
	腳踏車乘客在交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
 V129	Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in traffic accident
	腳踏車騎乘者在交通意外事故中與兩輪或三輪機動車碰撞受傷
    V129xxA	Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter
	腳踏車騎乘者在交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V129xxD	Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter
	腳踏車騎乘者在交通意外事故中與兩輪或三輪機動車碰撞受傷之之後續照護
    V129xxS	Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela
	腳踏車騎乘者在交通意外事故中與兩輪或三輪機動車碰撞受傷之之後遺症
V13	Pedal cycle rider injured in collision with car, pick-up truck or van
	腳踏車騎士與汽車，小貨車或箱型車碰撞
 V130	Pedal cycle driver injured in collision with car, pick-up truck or van in nontraffic accident
	腳踏車騎士在非交通意外事故中與汽車，小貨車或箱型車碰撞
    V130xxA	Pedal cycle driver injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter
	腳踏車騎士在非交通意外事故中與汽車，小貨車或箱型車碰撞之初期照護
    V130xxD	Pedal cycle driver injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter
	腳踏車騎士在非交通意外事故中與汽車，小貨車或箱型車碰撞之後續照護
    V130xxS	Pedal cycle driver injured in collision with car, pick-up truck or van in nontraffic accident, sequela
	腳踏車騎士在非交通意外事故中與汽車，小貨車或箱型車碰撞之後遺症
 V131	Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident
	腳踏車乘客在非交通意外事故中與汽車，小貨車或箱型車碰撞
    V131xxA	Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter
	腳踏車乘客在非交通意外事故中與汽車，小貨車或箱型車碰撞之初期照護
    V131xxD	Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter
	腳踏車乘客在非交通意外事故中與汽車，小貨車或箱型車碰撞之後續照護
    V131xxS	Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, sequela
	腳踏車乘客在非交通意外事故中與汽車，小貨車或箱型車碰撞之後遺症
 V132	Unspecified pedal cyclist injured in collision with car, pick-up truck or van in nontraffic accident
	腳踏車騎乘者在非交通意外事故中與汽車，小貨車或箱型車碰撞
    V132xxA	Unspecified pedal cyclist injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter
	腳踏車騎乘者在非交通意外事故中與汽車，小貨車或箱型車碰撞之初期照護
    V132xxD	Unspecified pedal cyclist injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter
	腳踏車騎乘者在非交通意外事故中與汽車，小貨車或箱型車碰撞之後續照護
    V132xxS	Unspecified pedal cyclist injured in collision with car, pick-up truck or van in nontraffic accident, sequela
	腳踏車騎乘者在非交通意外事故中與汽車，小貨車或箱型車碰撞之後遺症
 V133	Person boarding or alighting a pedal cycle injured in collision with car, pick-up truck or van
	人員在上下腳踏車時與汽車，小貨車或箱型車碰撞受傷
    V133xxA	Person boarding or alighting a pedal cycle injured in collision with car, pick-up truck or van, initial encounter
	人員在上下腳踏車時與汽車，小貨車或箱型車碰撞受傷之初期照護
    V133xxD	Person boarding or alighting a pedal cycle injured in collision with car, pick-up truck or van, subsequent encounter
	人員在上下腳踏車時與汽車，小貨車或箱型車碰撞受傷之後續照護
    V133xxS	Person boarding or alighting a pedal cycle injured in collision with car, pick-up truck or van, sequela
	人員在上下腳踏車時與汽車，小貨車或箱型車碰撞受傷之後遺症
 V134	Pedal cycle driver injured in collision with car, pick-up truck or van in traffic accident
	腳踏車騎士在交通意外事故中與汽車，小貨車或箱型車碰撞受傷
    V134xxA	Pedal cycle driver injured in collision with car, pick-up truck or van in traffic accident, initial encounter
	腳踏車騎士在交通意外事故中與汽車，小貨車或箱型車碰撞受傷之初期照護
    V134xxD	Pedal cycle driver injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter
	腳踏車騎士在交通意外事故中與汽車，小貨車或箱型車碰撞受傷之後續照護
    V134xxS	Pedal cycle driver injured in collision with car, pick-up truck or van in traffic accident, sequela
	腳踏車騎士在交通意外事故中與汽車，小貨車或箱型車碰撞受傷之後遺症
 V135	Pedal cycle passenger injured in collision with car, pick-up truck or van in traffic accident
	腳踏車乘客在交通意外事故中與汽車，小貨車或箱型車碰撞受傷
    V135xxA	Pedal cycle passenger injured in collision with car, pick-up truck or van in traffic accident, initial encounter
	腳踏車乘客在交通意外事故中與汽車，小貨車或箱型車碰撞受傷之初期照護
    V135xxD	Pedal cycle passenger injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter
