O00	Ectopic pregnancy
	第四個胎兒(疑似)中樞神經系統畸形的母體照護
    O350xx5	Maternal care for (suspected) central nervous system malformation in fetus, fetus 5
	第五個胎兒(疑似)中樞神經系統畸形的母體照護
    O350xx9	Maternal care for (suspected) central nervous system malformation in fetus, other fetus
	其他個胎兒(疑似)中樞神經系統畸形的母體照護
 O351	Maternal care for (suspected) chromosomal abnormality in fetus
	胎兒(疑似)染色體異常的母體照護
    O351xx0	Maternal care for (suspected) chromosomal abnormality in fetus, not applicable or unspecified
	不適用或未特定(疑似)胎兒染色體異常的母體照護
    O351xx1	Maternal care for (suspected) chromosomal abnormality in fetus, fetus 1
	第一個胎兒(疑似)染色體異常的母體照護
    O351xx2	Maternal care for (suspected) chromosomal abnormality in fetus, fetus 2
	第二個胎兒(疑似)染色體異常的母體照護
    O351xx3	Maternal care for (suspected) chromosomal abnormality in fetus, fetus 3
	第三個胎兒(疑似)染色體異常的母體照護
    O351xx4	Maternal care for (suspected) chromosomal abnormality in fetus, fetus 4
	第四個胎兒(疑似)染色體異常的母體照護
    O351xx5	Maternal care for (suspected) chromosomal abnormality in fetus, fetus 5
	第五個胎兒(疑似)染色體異常的母體照護
    O351xx9	Maternal care for (suspected) chromosomal abnormality in fetus, other fetus
	其他個胎兒(疑似)染色體異常的母體照護
 O352	Maternal care for (suspected) hereditary disease in fetus
	(疑似)胎兒遺傳疾病的母體照護
    O352xx0	Maternal care for (suspected) hereditary disease in fetus, not applicable or unspecified
	不適用或未特定(疑似)胎兒遺傳疾病的母體照護
    O352xx1	Maternal care for (suspected) hereditary disease in fetus, fetus 1
	第一個胎兒(疑似)胎兒遺傳疾病的母體照護
    O352xx2	Maternal care for (suspected) hereditary disease in fetus, fetus 2
	第二個胎兒(疑似)胎兒遺傳疾病的母體照護
    O352xx3	Maternal care for (suspected) hereditary disease in fetus, fetus 3
	第三個胎兒(疑似)胎兒遺傳疾病的母體照護
    O352xx4	Maternal care for (suspected) hereditary disease in fetus, fetus 4
	第四個胎兒(疑似)胎兒遺傳疾病的母體照護
    O352xx5	Maternal care for (suspected) hereditary disease in fetus, fetus 5
	第五個胎兒(疑似)胎兒遺傳疾病的母體照護
    O352xx9	Maternal care for (suspected) hereditary disease in fetus, other fetus
	其他胎兒(疑似)胎兒遺傳疾病的母體照護
 O353	Maternal care for (suspected) damage to fetus from viral disease in mother
	(疑似)母親病毒性疾病損及胎兒的母體照護
    O353xx0	Maternal care for (suspected) damage to fetus from viral disease in mother, not applicable or unspecified
	不適用或未特定，(疑似)母親病毒性疾病損及胎兒的母體照護
    O353xx1	Maternal care for (suspected) damage to fetus from viral disease in mother, fetus 1
	第一個胎兒(疑似)(疑似)母親病毒性疾病損及胎兒的母體照護
    O353xx2	Maternal care for (suspected) damage to fetus from viral disease in mother, fetus 2
	第二個胎兒(疑似)(疑似)母親病毒性疾病損及胎兒的母體照護
    O353xx3	Maternal care for (suspected) damage to fetus from viral disease in mother, fetus 3
	第三個胎兒(疑似)母親病毒性疾病損及胎兒的母體照護
    O353xx4	Maternal care for (suspected) damage to fetus from viral disease in mother, fetus 4
	第四個胎兒(疑似)母親病毒性疾病損及胎兒的母體照護
    O353xx5	Maternal care for (suspected) damage to fetus from viral disease in mother, fetus 5
	第五個胎兒(疑似)母親病毒性疾病損及胎兒的母體照護
    O353xx9	Maternal care for (suspected) damage to fetus from viral disease in mother, other fetus
	其他胎兒(疑似)母親病毒性疾病損及胎兒的母體照護
 O354	Maternal care for (suspected) damage to fetus from alcohol
	(疑似)酒精損害胎兒的母體照護
    O354xx0	Maternal care for (suspected) damage to fetus from alcohol, not applicable or unspecified
	不適用或未特定(疑似)酒精導致胎兒損害的母體照護
    O354xx1	Maternal care for (suspected) damage to fetus from alcohol, fetus 1
	第一個胎兒(疑似)(疑似)酒精導致胎兒損害的母體照護
    O354xx2	Maternal care for (suspected) damage to fetus from alcohol, fetus 2
	第二個胎兒(疑似)(疑似)酒精導致胎兒損害的母體照護
    O354xx3	Maternal care for (suspected) damage to fetus from alcohol, fetus 3
	第三個胎兒(疑似)酒精導致胎兒損害的母體照護
    O354xx4	Maternal care for (suspected) damage to fetus from alcohol, fetus 4
	第四個胎兒(疑似)酒精導致胎兒損害的母體照護
    O354xx5	Maternal care for (suspected) damage to fetus from alcohol, fetus 5
	第五個胎兒(疑似)酒精導致胎兒損害的母體照護
    O354xx9	Maternal care for (suspected) damage to fetus from alcohol, other fetus
	其他胎兒(疑似)酒精導致胎兒損害的母體照護
 O355	Maternal care for (suspected) damage to fetus by drugs
	(疑似)藥物損害胎兒的母體照護
    O355xx0	Maternal care for (suspected) damage to fetus by drugs, not applicable or unspecified
	不適用或未特定(疑似)藥物導致胎兒損害的母體照護
    O355xx1	Maternal care for (suspected) damage to fetus by drugs, fetus 1
	第一個胎兒(疑似)藥物導致胎兒損害的母體照護
    O355xx2	Maternal care for (suspected) damage to fetus by drugs, fetus 2
	第二個胎兒(疑似))藥物導致胎兒損害的母體照護
    O355xx3	Maternal care for (suspected) damage to fetus by drugs, fetus 3
	第三個胎兒(疑似)藥物導致胎兒損害的母體照護
    O355xx4	Maternal care for (suspected) damage to fetus by drugs, fetus 4
	第四個胎兒(疑似)藥物導致胎兒損害的母體照護
    O355xx5	Maternal care for (suspected) damage to fetus by drugs, fetus 5
	第五個胎兒(疑似)藥物導致胎兒損害的母體照護
    O355xx9	Maternal care for (suspected) damage to fetus by drugs, other fetus
	其他胎兒(疑似)藥物導致胎兒損害的母體照護
 O356	Maternal care for (suspected) damage to fetus by radiation
	(疑似)輻射(放射線)胎兒的母體照護
    O356xx0	Maternal care for (suspected) damage to fetus by radiation, not applicable or unspecified
	不適用或未特定，(疑似)輻射(放射線)導致胎兒損害的母體照護
    O356xx1	Maternal care for (suspected) damage to fetus by radiation, fetus 1
	第一個胎兒(疑似)輻射(放射線)導致胎兒損害的母體照護
    O356xx2	Maternal care for (suspected) damage to fetus by radiation, fetus 2
	第二個胎兒(疑似))輻射(放射線)導致胎兒損害的母體照護
    O356xx3	Maternal care for (suspected) damage to fetus by radiation, fetus 3
	第三個胎兒(疑似)輻射(放射線)導致胎兒損害的母體照護
    O356xx4	Maternal care for (suspected) damage to fetus by radiation, fetus 4
	第四個胎兒(疑似)輻射(放射線)導致胎兒損害的母體照護
    O356xx5	Maternal care for (suspected) damage to fetus by radiation, fetus 5
	第五個胎兒(疑似)輻射(放射線)導致胎兒損害的母體照護
    O356xx9	Maternal care for (suspected) damage to fetus by radiation, other fetus
	其他胎兒(疑似)輻射(放射線)導致胎兒損害的母體照護
 O357	Maternal care for (suspected) damage to fetus by other medical procedures
	(疑似)其他醫療處置損害胎兒的母體照護
    O357xx0	Maternal care for (suspected) damage to fetus by other medical procedures, not applicable or unspecified
	不適用或未特定，(疑似)其他醫療處置導致胎兒損害的母體照護
    O357xx1	Maternal care for (suspected) damage to fetus by other medical procedures, fetus 1
	第一個胎兒(疑似)其他醫療處置導致胎兒損害的母體照護
    O357xx2	Maternal care for (suspected) damage to fetus by other medical procedures, fetus 2
	第二個胎兒(疑似))其他醫療處置導致胎兒損害的母體照護
    O357xx3	Maternal care for (suspected) damage to fetus by other medical procedures, fetus 3
	第三個胎兒(疑似)其他醫療處置導致胎兒損害的母體照護
    O357xx4	Maternal care for (suspected) damage to fetus by other medical procedures, fetus 4
	第四個胎兒(疑似)其他醫療處置導致胎兒損害的母體照護
    O357xx5	Maternal care for (suspected) damage to fetus by other medical procedures, fetus 5
	第五個胎兒(疑似)其他醫療處置導致胎兒損害的母體照護
    O357xx9	Maternal care for (suspected) damage to fetus by other medical procedures, other fetus
	其他胎兒(疑似其他醫療處置導致胎兒損害的母體照護
 O358	Maternal care for other (suspected) fetal abnormality and damage
	(疑似)其他胎兒異常及損害的母體照護
    O358xx0	Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified
	不適用或未特定，(疑似)其他胎兒異常及損害的母體照護
    O358xx1	Maternal care for other (suspected) fetal abnormality and damage, fetus 1
	第一個胎兒(疑似)其他胎兒異常及損害的母體照護
    O358xx2	Maternal care for other (suspected) fetal abnormality and damage, fetus 2
	第二個胎兒(疑似))其他胎兒異常及損害的母體照護
    O358xx3	Maternal care for other (suspected) fetal abnormality and damage, fetus 3
	第三個胎兒(疑似)其他胎兒異常及損害的母體照護
    O358xx4	Maternal care for other (suspected) fetal abnormality and damage, fetus 4
	第四個胎兒(疑似)其他胎兒異常及損害的母體照護
    O358xx5	Maternal care for other (suspected) fetal abnormality and damage, fetus 5
	第五個胎兒(疑似)其他胎兒異常及損害的母體照護
    O358xx9	Maternal care for other (suspected) fetal abnormality and damage, other fetus
	其他胎兒(疑似其他胎兒異常及損害的母體照護
 O359	Maternal care for (suspected) fetal abnormality and damage, unspecified
	(疑似)未特定胎兒異常及損害的母體照護
    O359xx0	Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified
	不適用或未特定，(疑似)未特定胎兒異常及損害母體照護
    O359xx1	Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 1
	第一個胎兒(疑似)未特定胎兒異常及損害母體照護
    O359xx2	Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 2
	第二個胎兒(疑似))未特定胎兒異常及損害母體照護
    O359xx3	Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 3
	第三個胎兒(疑似)未特定胎兒異常及損害母體照護
    O359xx4	Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 4
	第四個胎兒(疑似)未特定胎兒異常及損害母體照護
    O359xx5	Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 5
	第五個胎兒(疑似)未特定胎兒異常及損害母體照護
    O359xx9	Maternal care for (suspected) fetal abnormality and damage, unspecified, other fetus
