S00	Superficial injury of head
    S31632D	Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
	上腹壁無異物穿刺傷口併穿刺到腹腔之後續照護
    S31632S	Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
	上腹壁無異物穿刺傷口併穿刺到腹腔之後遺症
   S31633	Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity A
	右下四分之一腹壁無異物穿刺傷口併穿刺到腹腔A
    S31633A	Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
	右下四分之一腹壁無異物穿刺傷口併穿刺到腹腔之初期照護
    S31633D	Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
	右下四分之一腹壁無異物穿刺傷口併穿刺到腹腔之後續照護
    S31633S	Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
	右下四分之一腹壁無異物穿刺傷口併穿刺到腹腔之後遺症
   S31634	Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity A
	左下四分之一腹壁無異物穿刺傷口併穿刺到腹腔A
    S31634A	Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
	左下四分之一腹壁無異物穿刺傷口併穿刺到腹腔之初期照護
    S31634D	Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
	左下四分之一腹壁無異物穿刺傷口併穿刺到腹腔之後續照護
    S31634S	Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
	左下四分之一腹壁無異物穿刺傷口併穿刺到腹腔之後遺症
   S31635	Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity A
	臍周圍腹壁無異物穿刺傷口併穿刺到腹腔A
    S31635A	Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
	臍周圍腹壁無異物穿刺傷口併穿刺到腹腔之初期照護
    S31635D	Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
	臍周圍腹壁無異物穿刺傷口併穿刺到腹腔之後續照護
    S31635S	Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
	臍周圍腹壁無異物穿刺傷口併穿刺到腹腔之後遺症
   S31639	Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity A
	未特定部位腹壁無異物穿刺傷口併穿刺到腹腔A
    S31639A	Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
	未特定部位腹壁無異物穿刺傷口併穿刺到腹腔之初期照護
    S31639D	Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
	未特定部位腹壁無異物穿刺傷口併穿刺到腹腔之後續照護
    S31639S	Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
	未特定部位腹壁無異物穿刺傷口併穿刺到腹腔之後遺症
  S3164	Puncture wound with foreign body of abdominal wall with penetration into peritoneal cavity
	腹壁有異物穿刺傷口併穿刺到腹腔
   S31640	Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity A
	右上四分之一腹壁有異物穿刺傷口併穿刺到腹腔A
    S31640A	Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
	右上四分之一腹壁有異物穿刺傷口併穿刺到腹腔之初期照護
    S31640D	Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
	右上四分之一腹壁有異物穿刺傷口併穿刺到腹腔之後續照護
    S31640S	Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
	右上四分之一腹壁有異物穿刺傷口併穿刺到腹腔之後遺症
   S31641	Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity A
	左上四分之一腹壁有異物穿刺傷口併穿刺到腹腔A
    S31641A	Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
	左上四分之一腹壁有異物穿刺傷口併穿刺到腹腔之初期照護
    S31641D	Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
	左上四分之一腹壁有異物穿刺傷口併穿刺到腹腔之後續照護
    S31641S	Puncture wound with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
	左上四分之一腹壁有異物穿刺傷口併穿刺到腹腔之後遺症
   S31642	Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity A
	上腹壁有異物穿刺傷口併穿刺到腹腔A
    S31642A	Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
	上腹壁有異物穿刺傷口併穿刺到腹腔之初期照護
    S31642D	Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
	上腹壁有異物穿刺傷口併穿刺到腹腔之後續照護
    S31642S	Puncture wound with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
	上腹壁有異物穿刺傷口併穿刺到腹腔之後遺症
   S31643	Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity A
	右下四分之一腹壁有異物穿刺傷口併穿刺到腹腔A
    S31643A	Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
	右下四分之一腹壁有異物穿刺傷口併穿刺到腹腔之初期照護
    S31643D	Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
	右下四分之一腹壁有異物穿刺傷口併穿刺到腹腔之後續照護
    S31643S	Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
	右下四分之一腹壁有異物穿刺傷口併穿刺到腹腔之後遺症
   S31644	Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity A
	左下四分之一腹壁有異物穿刺傷口併穿刺到腹腔A
    S31644A	Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
	左下四分之一腹壁有異物穿刺傷口併穿刺到腹腔之初期照護
    S31644D	Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
	左下四分之一腹壁有異物穿刺傷口併穿刺到腹腔之後續照護
    S31644S	Puncture wound with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
	左下四分之一腹壁有異物穿刺傷口併穿刺到腹腔之後遺症
   S31645	Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity A
	臍周圍腹壁有異物穿刺傷口併穿刺到腹腔A
    S31645A	Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
	臍周圍腹壁有異物穿刺傷口併穿刺到腹腔之初期照護
    S31645D	Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
	臍周圍腹壁有異物穿刺傷口併穿刺到腹腔之後續照護
    S31645S	Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
	臍周圍腹壁有異物穿刺傷口併穿刺到腹腔之後遺症
   S31649	Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity A
	未特定部位腹壁有異物穿刺傷口併穿刺到腹腔A
    S31649A	Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
	未特定部位腹壁有異物穿刺傷口併穿刺到腹腔之初期照護
    S31649D	Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
	未特定部位腹壁有異物穿刺傷口併穿刺到腹腔之後續照護
    S31649S	Puncture wound with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
	未特定部位腹壁有異物穿刺傷口併穿刺到腹腔之後遺症
  S3165	Open bite of abdominal wall with penetration into peritoneal cavity
	腹壁開放性咬傷併穿刺到腹腔
   S31650	Open bite of abdominal wall, right upper quadrant with penetration into peritoneal cavity A
	右上四分之一腹壁開放性咬傷併穿刺到腹腔A
    S31650A	Open bite of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
