H00	Hordeolum and chalazion
	雙側眼角膜新生血管
   H16409	Unspecified corneal neovascularization, unspecified eye
	未特定側性之角膜新生血管
  H1641	Ghost vessels (corneal)
	(角膜的)血管影
   H16411	Ghost vessels (corneal), right eye
	右側眼(角膜的)血管影
   H16412	Ghost vessels (corneal), left eye
	左側眼(角膜的)血管影
   H16413	Ghost vessels (corneal), bilateral
	雙側眼(角膜的)血管影
   H16419	Ghost vessels (corneal), unspecified eye
	未特定側性之(角膜的)血管影
  H1642	Pannus (corneal)
	角膜血管翳
   H16421	Pannus (corneal), right eye
	右側眼角膜血管翳
   H16422	Pannus (corneal), left eye
	左側眼角膜血管翳
   H16423	Pannus (corneal), bilateral
	雙側眼角膜血管翳
   H16429	Pannus (corneal), unspecified eye
	未特定側性之角膜血管翳
  H1643	Localized vascularization of cornea
	角膜局部血管增生
   H16431	Localized vascularization of cornea, right eye
	右側眼角膜局部新生血管形成
   H16432	Localized vascularization of cornea, left eye
	左側眼角膜局部新生血管形成
   H16433	Localized vascularization of cornea, bilateral
	雙側眼角膜局部新生血管形成
   H16439	Localized vascularization of cornea, unspecified eye
	未特定側性之角膜局部新生血管形成
  H1644	Deep vascularization of cornea
	角膜深層血管增生
   H16441	Deep vascularization of cornea, right eye
	右側眼角膜深層新生血管形成
   H16442	Deep vascularization of cornea, left eye
	左側眼角膜深層新生血管形成
   H16443	Deep vascularization of cornea, bilateral
	雙側眼角膜深層新生血管形成
   H16449	Deep vascularization of cornea, unspecified eye
	未特定側性之角膜深層新生血管形成
 H168	Other keratitis
	其他形態之角膜炎
 H169	Unspecified keratitis
	角膜炎
H17	Corneal scars and opacities
	角膜瘢痕和混濁
 H170	Adherent leukoma
	黏連性角膜白斑
  H1700	Adherent leukoma, unspecified eye
	未特定側性之黏連性角膜白斑
  H1701	Adherent leukoma, right eye
	右側眼黏連性角膜白斑
  H1702	Adherent leukoma, left eye
	左側眼黏連性角膜白斑
  H1703	Adherent leukoma, bilateral
	雙側眼黏連性角膜白斑
 H171	Central corneal opacity
	中心性角膜混濁
  H1710	Central corneal opacity, unspecified eye
	未特定側性之中心性角膜混濁
  H1711	Central corneal opacity, right eye
	右側眼中心性角膜混濁
  H1712	Central corneal opacity, left eye
	左側眼中心性角膜混濁
  H1713	Central corneal opacity, bilateral
	雙側眼中心性角膜混濁
 H178	Other corneal scars and opacities
	其他角膜瘢痕和混濁
  H1781	Minor opacity of cornea
	角膜輕微混濁
   H17811	Minor opacity of cornea, right eye
	右側眼角膜輕微混濁
   H17812	Minor opacity of cornea, left eye
	左側眼角膜輕微混濁
   H17813	Minor opacity of cornea, bilateral
	雙側眼角膜輕微混濁
   H17819	Minor opacity of cornea, unspecified eye
	未特定側性之角膜輕微混濁
  H1782	Peripheral opacity of cornea
	週邊性角膜混濁
   H17821	Peripheral opacity of cornea, right eye
	右側眼週邊性角膜混濁
   H17822	Peripheral opacity of cornea, left eye
	左側眼週邊性角膜混濁
   H17823	Peripheral opacity of cornea, bilateral
	雙側眼週邊性角膜混濁
   H17829	Peripheral opacity of cornea, unspecified eye
	週邊性角膜混濁
  H1789	Other corneal scars and opacities
	其它角膜瘢痕和混濁
 H179	Unspecified corneal scar and opacity
	角膜瘢痕和混濁
H18	Other disorders of cornea
	角膜其他疾患
 H180	Corneal pigmentations and deposits
	角膜色素沈著及沉澱物
  H1800	Unspecified corneal deposit
	角膜沈澱物
   H18001	Unspecified corneal deposit, right eye
	右側眼角膜沈澱物
   H18002	Unspecified corneal deposit, left eye
	左側眼角膜沈澱物
   H18003	Unspecified corneal deposit, bilateral
	雙側眼角膜沈澱物
   H18009	Unspecified corneal deposit, unspecified eye
	未特定側性之角膜沈澱物
  H1801	Anterior corneal pigmentations
	角膜前部色素沈著
   H18011	Anterior corneal pigmentations, right eye
	右側眼角膜前部色素沈著
   H18012	Anterior corneal pigmentations, left eye
	左側眼角膜前部色素沈著
   H18013	Anterior corneal pigmentations, bilateral
	雙側眼角膜前部色素沈著
   H18019	Anterior corneal pigmentations, unspecified eye
	未特定側性之角膜前部色素沈著
  H1802	Argentous corneal deposits
	角膜銀沈澱物
   H18021	Argentous corneal deposits, right eye
	右側眼角膜銀沈澱物
   H18022	Argentous corneal deposits, left eye
	左側眼角膜銀沈澱物
   H18023	Argentous corneal deposits, bilateral
	雙側眼角膜銀沈澱物
   H18029	Argentous corneal deposits, unspecified eye
	未特定側性之角膜銀沈澱物
  H1803	Corneal deposits in metabolic disorders
	與新陳代謝疾患有關之角膜沈澱物
   H18031	Corneal deposits in metabolic disorders, right eye
	與新陳代謝疾患有關之其他角膜沈澱物，右側眼
   H18032	Corneal deposits in metabolic disorders, left eye
	與新陳代謝疾患有關之其他角膜沈澱物，左側眼
   H18033	Corneal deposits in metabolic disorders, bilateral
	與新陳代謝疾患有關之其他角膜沈澱物，雙側眼
   H18039	Corneal deposits in metabolic disorders, unspecified eye
	與新陳代謝疾患有關之其他角膜沈澱物，未特定側性
  H1804	Kayser-Fleischer ring
	Kayser-Fleischer氏環
   H18041	Kayser-Fleischer ring, right eye
	右側眼Kayser-Fleischer氏環
   H18042	Kayser-Fleischer ring, left eye
	左側眼Kayser-Fleischer氏環
   H18043	Kayser-Fleischer ring, bilateral
	雙側眼Kayser-Fleischer氏環
   H18049	Kayser-Fleischer ring, unspecified eye
	未特定側性之Kayser-Fleischer氏環
  H1805	Posterior corneal pigmentations
	角膜後部色素沈著
   H18051	Posterior corneal pigmentations, right eye
	右側眼角膜後部色素沈著
   H18052	Posterior corneal pigmentations, left eye
	左側眼角膜後部色素沈著
   H18053	Posterior corneal pigmentations, bilateral
	雙側眼角膜後部色素沈著
   H18059	Posterior corneal pigmentations, unspecified eye
	未特定側性之角膜後部色素沈著
  H1806	Stromal corneal pigmentations
	角膜基質色素沈著
   H18061	Stromal corneal pigmentations, right eye
	右側眼角膜基質色素沈著
   H18062	Stromal corneal pigmentations, left eye
	左側眼角膜基質色素沈著
   H18063	Stromal corneal pigmentations, bilateral
	雙側眼角膜基質色素沈著
   H18069	Stromal corneal pigmentations, unspecified eye
	未特定側性之角膜基質色素沈著
 H181	Bullous keratopathy
	水泡狀角膜病變
  H1810	Bullous keratopathy, unspecified eye
	未特定側性之水泡狀角膜病變
  H1811	Bullous keratopathy, right eye
	右側眼水泡狀角膜病變
  H1812	Bullous keratopathy, left eye
	左側眼水泡狀角膜病變
  H1813	Bullous keratopathy, bilateral
	雙側眼水泡狀角膜病變
 H182	Other and unspecified corneal edema
	其他及未特定之角膜水腫
  H1820	Unspecified corneal edema
	角膜水腫
  H1821	Corneal edema secondary to contact lens
	因配帶隱形眼鏡造成之角膜水腫
   H18211	Corneal edema secondary to contact lens, right eye
	右側眼因配帶隱形眼鏡造成之角膜水腫
   H18212	Corneal edema secondary to contact lens, left eye
	左側眼因配帶隱形眼鏡造成之角膜水腫
   H18213	Corneal edema secondary to contact lens, bilateral
	雙側眼因配帶隱形眼鏡造成之角膜水腫
   H18219	Corneal edema secondary to contact lens, unspecified eye
	未特定側性之因配帶隱形眼鏡造成之角膜水腫
  H1822	Idiopathic corneal edema
	原發性角膜水腫
   H18221	Idiopathic corneal edema, right eye
	右側眼原發性角膜水腫
   H18222	Idiopathic corneal edema, left eye
	左側眼原發性角膜水腫
   H18223	Idiopathic corneal edema, bilateral
	雙側眼原發性角膜水腫
   H18229	Idiopathic corneal edema, unspecified eye
	未特定側性之原發性角膜水腫
  H1823	Secondary corneal edema
	續發性角膜水腫
   H18231	Secondary corneal edema, right eye
	右側眼續發性角膜水腫
   H18232	Secondary corneal edema, left eye
	左側眼續發性角膜水腫
   H18233	Secondary corneal edema, bilateral
	雙側眼續發性角膜水腫
   H18239	Secondary corneal edema, unspecified eye
	未特定側性之續發性角膜水腫
 H183	Changes of corneal membranes
	角膜層變化
  H1830	Unspecified corneal membrane change
	角膜層之變化
  H1831	Folds and rupture in Bowman's membrane
	Bowman層皺褶及破裂
   H18311	Folds and rupture in Bowman's membrane, right eye
	右側眼Bowman層皺褶及破裂
   H18312	Folds and rupture in Bowman's membrane, left eye
	左側眼Bowman層皺褶及破裂
   H18313	Folds and rupture in Bowman's membrane, bilateral
	雙側眼Bowman層皺褶及破裂
   H18319	Folds and rupture in Bowman's membrane, unspecified eye
	未特定側性之Bowman層皺褶及破裂
  H1832	Folds in Descemet's membrane
	Descenet層皺褶
   H18321	Folds in Descemet's membrane, right eye
	右側眼Descenet層皺褶
   H18322	Folds in Descemet's membrane, left eye
	左側眼Descenet層皺褶
   H18323	Folds in Descemet's membrane, bilateral
	雙側眼Descenet層皺褶
   H18329	Folds in Descemet's membrane, unspecified eye
	未特定側性之Descenet層皺褶
  H1833	Rupture in Descemet's membrane
	Descemet層破裂
   H18331	Rupture in Descemet's membrane, right eye
	右側眼Descemet層破裂
   H18332	Rupture in Descemet's membrane, left eye
	左側眼Descemet層破裂
   H18333	Rupture in Descemet's membrane, bilateral
	雙側眼Descemet層破裂
   H18339	Rupture in Descemet's membrane, unspecified eye
	未特定側性之Descemet層破裂
 H184	Corneal degeneration
	角膜退化
  H1840	Unspecified corneal degeneration
	角膜退化
  H1841	Arcus senilis
	老年環
   H18411	Arcus senilis, right eye
	右側眼老年環
   H18412	Arcus senilis, left eye
	左側眼老年環
   H18413	Arcus senilis, bilateral
	雙側眼老年環
   H18419	Arcus senilis, unspecified eye
	未特定側性之老年環
  H1842	Band keratopathy
	帶狀角膜病變
   H18421	Band keratopathy, right eye
	右側眼帶狀角膜病變
   H18422	Band keratopathy, left eye
	左側眼帶狀角膜病變
   H18423	Band keratopathy, bilateral
	雙側眼帶狀角膜病變
   H18429	Band keratopathy, unspecified eye
	未特定側性之帶狀角膜病變
  H1843	Other calcerous corneal degeneration
	角膜其他鈣變性退化
  H1844	Keratomalacia
	角膜軟化症
   H18441	Keratomalacia, right eye
	右側眼角膜軟化症
   H18442	Keratomalacia, left eye
	左側眼角膜軟化症
   H18443	Keratomalacia, bilateral
	雙側眼角膜軟化症
   H18449	Keratomalacia, unspecified eye
	未特定側性之角膜軟化症
  H1845	Nodular corneal degeneration
	角膜結節性退化
   H18451	Nodular corneal degeneration, right eye
	右側眼角膜結節性退化
   H18452	Nodular corneal degeneration, left eye
	左側眼角膜結節性退化
   H18453	Nodular corneal degeneration, bilateral
	雙側眼角膜結節性退化
   H18459	Nodular corneal degeneration, unspecified eye
	未特定側性之角膜結節性退化
  H1846	Peripheral corneal degeneration
	周邊角膜退化
   H18461	Peripheral corneal degeneration, right eye
	右側眼周邊角膜退化
   H18462	Peripheral corneal degeneration, left eye
	左側眼周邊角膜退化
   H18463	Peripheral corneal degeneration, bilateral
	雙側眼周邊角膜退化
   H18469	Peripheral corneal degeneration, unspecified eye
	未特定側性之周邊角膜退化
  H1849	Other corneal degeneration
	其他角膜退化
 H185	Herreditary corneal dystrophies
	遺傳性角膜失養症
  H1850	Unspecified hereditary corneal dystrophies
	遺傳性角膜失養症
  H1851	Endothelial corneal dystrophy
	角膜內皮失養症
  H1852	Epithelial (juvenile) corneal dystrophy
	少年型角膜上皮失養症
  H1853	Granular corneal dystrophy
	角膜顆粒狀失養症
  H1854	Lattice corneal dystrophy
	角膜格子狀失養症
  H1855	Macular corneal dystrophy
	角膜斑狀失養症
  H1859	Other hereditary corneal dystrophies
	其他遺傳性角膜失養症
 H186	Keratoconus
	圓錐狀角膜
  H1860	Keratoconus, unspecified
	圓錐狀角膜
   H18601	Keratoconus, unspecified, right eye
	右側眼圓錐狀角膜
   H18602	Keratoconus, unspecified, left eye
	左側眼圓錐狀角膜
   H18603	Keratoconus, unspecified, bilateral
	雙側眼圓錐狀角膜
   H18609	Keratoconus, unspecified, unspecified eye
	未特定側性之圓錐狀角膜
  H1861	Keratoconus, stable
	圓錐狀角膜，穩定狀況
   H18611	Keratoconus, stable, right eye
	右側眼圓錐狀角膜，穩定狀況
   H18612	Keratoconus, stable, left eye
	左側眼圓錐狀角膜，穩定狀況
   H18613	Keratoconus, stable, bilateral
	雙側眼圓錐狀角膜，穩定狀況
   H18619	Keratoconus, stable, unspecified eye
	未特定側性之圓錐狀角膜，穩定狀況
  H1862	Keratoconus, unstable
	圓錐狀角膜，不穩定狀況
   H18621	Keratoconus, unstable, right eye
	右側眼圓錐狀角膜，不穩定狀況
   H18622	Keratoconus, unstable, left eye
	左側眼圓錐狀角膜，不穩定狀況
   H18623	Keratoconus, unstable, bilateral
	雙側眼圓錐狀角膜，不穩定狀況
   H18629	Keratoconus, unstable, unspecified eye
	未特定側性之圓錐狀角膜，不穩定狀況
 H187	Other and unspecified corneal deformities
	其他及未特定之角膜畸形
  H1870	Unspecified corneal deformity
	角膜畸形
  H1871	Corneal staphyloma
	角膜膨出
   H18711	Corneal ectasia, right eye
	右側眼角膜膨出
   H18712	Corneal ectasia, left eye
	左側眼角膜膨出
   H18713	Corneal ectasia, bilateral
	雙側眼角膜膨出
   H18719	Corneal ectasia, unspecified eye
	未特定側性之角膜膨出
  H1872	Corneal staphyloma
	角膜葡萄腫
   H18721	Corneal staphyloma, right eye
	右側眼角膜葡萄腫
   H18722	Corneal staphyloma, left eye
	左側眼角膜葡萄腫
   H18723	Corneal staphyloma, bilateral
	雙側眼角膜葡萄腫
   H18729	Corneal staphyloma, unspecified eye
	未特定側性之角膜葡萄腫
  H1873	Descemetocele
	後彈性層膨出
   H18731	Descemetocele, right eye
	右側眼後彈性層膨出
   H18732	Descemetocele, left eye
	左側眼後彈性層膨出
   H18733	Descemetocele, bilateral
	雙側眼後彈性層膨出
   H18739	Descemetocele, unspecified eye
	未特定側性之後彈性層膨出
  H1879	Other corneal deformities
	其它角膜畸形
   H18791	Other corneal deformities, right eye
	右側眼之其它角膜畸形
   H18792	Other corneal deformities, left eye
	左側眼之其它角膜畸形
   H18793	Other corneal deformities, bilateral
	雙側眼之其它角膜畸形
   H18799	Other corneal deformities, unspecified eye
	未特定側性之其它角膜畸形
 H188	Other specified disorders of cornea
	其他特定之角膜疾患
  H1881	Anesthesia and hypoesthesia of cornea
	角膜麻木及感覺遲鈍
   H18811	Anesthesia and hypoesthesia of cornea, right eye
	右側眼角膜麻木及感覺遲鈍
   H18812	Anesthesia and hypoesthesia of cornea, left eye
	左側眼角膜麻木及感覺遲鈍
   H18813	Anesthesia and hypoesthesia of cornea, bilateral
	雙側眼角膜麻木及感覺遲鈍
   H18819	Anesthesia and hypoesthesia of cornea, unspecified eye
	未特定側性之角膜麻木及感覺遲鈍
  H1882	Corneal disorder due to contact lens
	因配帶隱形眼鏡造成之角膜疾患
   H18821	Corneal disorder due to contact lens, right eye
	右側眼因配帶隱形眼鏡造成之角膜疾患
   H18822	Corneal disorder due to contact lens, left eye
	左側眼因配帶隱形眼鏡造成之角膜疾患
   H18823	Corneal disorder due to contact lens, bilateral
	雙側眼因配帶隱形眼鏡造成之角膜疾患
   H18829	Corneal disorder due to contact lens, unspecified eye
	未特定側性之因配帶隱形眼鏡造成之角膜疾患
  H1883	Recurrent erosion of cornea
	復發性角膜靡爛
   H18831	Recurrent erosion of cornea, right eye
	右側眼復發性角膜靡爛
   H18832	Recurrent erosion of cornea, left eye
	左側眼復發性角膜靡爛
   H18833	Recurrent erosion of cornea, bilateral
	雙側眼復發性角膜靡爛
   H18839	Recurrent erosion of cornea, unspecified eye
	未特定側性之復發性角膜靡爛
  H1889	Other specified disorders of cornea
	其他特定角膜疾患
   H18891	Other specified disorders of cornea, right eye
	右側眼之其他特定角膜疾患
   H18892	Other specified disorders of cornea, left eye
	左側眼之其他特定角膜疾患
   H18893	Other specified disorders of cornea, bilateral
	雙側眼之其他特定角膜疾患
   H18899	Other specified disorders of cornea, unspecified eye
	未特定側性之其他特定角膜疾患
