M00	Pyogenic arthritis
   M11011	Hydroxyapatite deposition disease, right shoulder
	右側肩部，氫氧磷灰石沉積病
   M11012	Hydroxyapatite deposition disease, left shoulder
	左側肩部，氫氧磷灰石沉積病
   M11019	Hydroxyapatite deposition disease, unspecified shoulder
	未特定側性肩部，氫氧磷灰石沉積病
  M1102	Hydroxyapatite deposition disease, elbow
	肘部氫氧磷灰石沈積疾病
   M11021	Hydroxyapatite deposition disease, right elbow
	右側肘部，氫氧磷灰石沉積病
   M11022	Hydroxyapatite deposition disease, left elbow
	左側肘部，氫氧磷灰石沉積病
   M11029	Hydroxyapatite deposition disease, unspecified elbow
	未特定側性肘部，氫氧磷灰石沉積病
  M1103	Hydroxyapatite deposition disease, wrist
	腕部氫氧磷灰石沈積疾病
   M11031	Hydroxyapatite deposition disease, right wrist
	右側腕部，氫氧磷灰石沉積病
   M11032	Hydroxyapatite deposition disease, left wrist
	左側腕部，氫氧磷灰石沉積病
   M11039	Hydroxyapatite deposition disease, unspecified wrist
	未特定側性腕部，氫氧磷灰石沉積病
  M1104	Hydroxyapatite deposition disease, hand
	手部氫氧磷灰石沈積疾病
   M11041	Hydroxyapatite deposition disease, right hand
	右側手部，氫氧磷灰石沉積病
   M11042	Hydroxyapatite deposition disease, left hand
	左側手部，氫氧磷灰石沉積病
   M11049	Hydroxyapatite deposition disease, unspecified hand
	未特定側性手部，氫氧磷灰石沉積病
  M1105	Hydroxyapatite deposition disease, hip
	髖部氫氧磷灰石沈積疾病
   M11051	Hydroxyapatite deposition disease, right hip
	右側髖部，氫氧磷灰石沉積病
   M11052	Hydroxyapatite deposition disease, left hip
	左側髖部，氫氧磷灰石沉積病
   M11059	Hydroxyapatite deposition disease, unspecified hip
	未特定側性髖部，氫氧磷灰石沉積病
  M1106	Hydroxyapatite deposition disease, knee
	膝部氫氧磷灰石沈積疾病
   M11061	Hydroxyapatite deposition disease, right knee
	右側膝部，氫氧磷灰石沉積病
   M11062	Hydroxyapatite deposition disease, left knee
	左側膝部，氫氧磷灰石沉積病
   M11069	Hydroxyapatite deposition disease, unspecified knee
	未特定側性膝部，氫氧磷灰石沉積病
  M1107	Hydroxyapatite deposition disease, ankle and foot
	踝部及足部氫氧磷灰石沈積疾病
   M11071	Hydroxyapatite deposition disease, right ankle and foot
	右側踝及足部，氫氧磷灰石沉積病
   M11072	Hydroxyapatite deposition disease, left ankle and foot
	左側踝及足部，氫氧磷灰石沉積病
   M11079	Hydroxyapatite deposition disease, unspecified ankle and foot
	未特定側性踝及足部，氫氧磷灰石沉積病
  M1108	Hydroxyapatite deposition disease, vertebrae
	脊椎，氫氧磷灰石沉積病
  M1109	Hydroxyapatite deposition disease, multiple sites
	多處部位，氫氧磷灰石沉積病
 M111	Familial chondrocalcinosis
	家族性軟骨鈣化症
  M1110	Familial chondrocalcinosis, unspecified site
	未特定部位，家族性軟骨鈣化症
  M1111	Familial chondrocalcinosis, shoulder
	肩部家族性軟骨鈣化症
   M11111	Familial chondrocalcinosis, right shoulder
	右側肩部，家族性軟骨鈣化症
   M11112	Familial chondrocalcinosis, left shoulder
	左側肩部，家族性軟骨鈣化症
   M11119	Familial chondrocalcinosis, unspecified shoulder
	未特定側性肩部，家族性軟骨鈣化症
  M1112	Familial chondrocalcinosis, elbow
	肘部家族性軟骨鈣化症
   M11121	Familial chondrocalcinosis, right elbow
	右側肘部，家族性軟骨鈣化症
   M11122	Familial chondrocalcinosis, left elbow
	左側肘部，家族性軟骨鈣化症
   M11129	Familial chondrocalcinosis, unspecified elbow
	未特定側性肘部，家族性軟骨鈣化症
  M1113	Familial chondrocalcinosis, wrist
	腕部家族性軟骨鈣化症
   M11131	Familial chondrocalcinosis, right wrist
	右側腕部，家族性軟骨鈣化症
   M11132	Familial chondrocalcinosis, left wrist
	左側腕部，家族性軟骨鈣化症
   M11139	Familial chondrocalcinosis, unspecified wrist
	未特定側性腕部，家族性軟骨鈣化症
  M1114	Familial chondrocalcinosis, hand
	手部家族性軟骨鈣化症
   M11141	Familial chondrocalcinosis, right hand
	右側手部，家族性軟骨鈣化症
   M11142	Familial chondrocalcinosis, left hand
	左側手部，家族性軟骨鈣化症
   M11149	Familial chondrocalcinosis, unspecified hand
	未特定側性手部，家族性軟骨鈣化症
  M1115	Familial chondrocalcinosis, hip
	髖部家族性軟骨鈣化症
   M11151	Familial chondrocalcinosis, right hip
	右側髖部，家族性軟骨鈣化症
   M11152	Familial chondrocalcinosis, left hip
	左側髖部，家族性軟骨鈣化症
   M11159	Familial chondrocalcinosis, unspecified hip
	未特定側性髖部，家族性軟骨鈣化症
  M1116	Familial chondrocalcinosis, knee
	膝部家族性軟骨鈣化症
   M11161	Familial chondrocalcinosis, right knee
	右側膝部，家族性軟骨鈣化症
   M11162	Familial chondrocalcinosis, left knee
	左側膝部，家族性軟骨鈣化症
   M11169	Familial chondrocalcinosis, unspecified knee
	未特定側性膝部，家族性軟骨鈣化症
  M1117	Familial chondrocalcinosis, right ankle and foot
	踝部及足部家族性軟骨鈣化症
   M11171	Familial chondrocalcinosis, right ankle and foot
	右側踝及足部，家族性軟骨鈣化症
   M11172	Familial chondrocalcinosis, left ankle and foot
	左側踝及足部，家族性軟骨鈣化症
   M11179	Familial chondrocalcinosis, unspecified ankle and foot
	未特定側性踝及足部，家族性軟骨鈣化症
  M1118	Familial chondrocalcinosis, vertebrae
	脊椎，家族性軟骨鈣化症
  M1119	Familial chondrocalcinosis, multiple sites
	多處部位，家族性軟骨鈣化症
 M112	Other chondrocalcinosis
	其他軟骨鈣化症
  M1120	Other chondrocalcinosis, unspecified site
	未特定部位，其他軟骨鈣化症
  M1121	Other chondrocalcinosis, shoulder
	肩部，其他軟骨鈣化症
   M11211	Other chondrocalcinosis, right shoulder
	右側肩部，其他軟骨鈣化症
   M11212	Other chondrocalcinosis, left shoulder
	左側肩部，其他軟骨鈣化症
   M11219	Other chondrocalcinosis, unspecified shoulder
	未特定側性肩部，其他軟骨鈣化症
  M1122	Other chondrocalcinosis, elbow
	肘部，其他軟骨鈣化症
   M11221	Other chondrocalcinosis, right elbow
	右側肘部，其他軟骨鈣化症
   M11222	Other chondrocalcinosis, left elbow
	左側肘部，其他軟骨鈣化症
   M11229	Other chondrocalcinosis, unspecified elbow
	未特定側性肘部，其他軟骨鈣化症
  M1123	Other chondrocalcinosis, wrist
	腕部，其他軟骨鈣化症
   M11231	Other chondrocalcinosis, right wrist
	右側腕部，其他軟骨鈣化症
   M11232	Other chondrocalcinosis, left wrist
	左側腕部，其他軟骨鈣化症
   M11239	Other chondrocalcinosis, unspecified wrist
	未特定側性腕部，其他軟骨鈣化症
  M1124	Other chondrocalcinosis, hand
	手部，其他軟骨鈣化症
   M11241	Other chondrocalcinosis, right hand
	右側手部，其他軟骨鈣化症
   M11242	Other chondrocalcinosis, left hand
	左側手部，其他軟骨鈣化症
   M11249	Other chondrocalcinosis, unspecified hand
	未特定側性手部，其他軟骨鈣化症
  M1125	Other chondrocalcinosis, hip
	髖部，其他軟骨鈣化症
   M11251	Other chondrocalcinosis, right hip
	右側髖部，其他軟骨鈣化症
   M11252	Other chondrocalcinosis, left hip
	左側髖部，其他軟骨鈣化症
   M11259	Other chondrocalcinosis, unspecified hip
	未特定側性髖部，其他軟骨鈣化症
  M1126	Other chondrocalcinosis, knee
	膝部，其他軟骨鈣化症
   M11261	Other chondrocalcinosis, right knee
	右側膝部，其他軟骨鈣化症
   M11262	Other chondrocalcinosis, left knee
	左側膝部，其他軟骨鈣化症
   M11269	Other chondrocalcinosis, unspecified knee
	未特定側性膝部，其他軟骨鈣化症
  M1127	Other chondrocalcinosis, ankle and foot
	踝部及足部，其他軟骨鈣化症
   M11271	Other chondrocalcinosis, right ankle and foot
	右側踝及足部，其他軟骨鈣化症
   M11272	Other chondrocalcinosis, left ankle and foot
	左側踝及足部，其他軟骨鈣化症
   M11279	Other chondrocalcinosis, unspecified ankle and foot
	未特定側性踝及足部，其他軟骨鈣化症
  M1128	Other chondrocalcinosis, vertebrae
	脊椎，其他軟骨鈣化症
  M1129	Other chondrocalcinosis, multiple sites
	多處部位，其他軟骨鈣化症
 M118	Other specified crystal arthropathies
	其他特定的結晶性關節病變
  M1180	Other specified crystal arthropathies, unspecified site
	未特定部位，其他特定的結晶性關節病變
  M1181	Other specified crystal arthropathies, shoulder
	肩部，其他特定的結晶性關節病變
   M11811	Other specified crystal arthropathies, right shoulder
	右側肩部，其他特定的結晶性關節病變
   M11812	Other specified crystal arthropathies, left shoulder
	左側肩部，其他特定的結晶性關節病變
   M11819	Other specified crystal arthropathies, unspecified shoulder
	未特定側性肩部，其他特定的結晶性關節病變
  M1182	Other specified crystal arthropathies, elbow
	肘部，其他特定的結晶性關節病變
   M11821	Other specified crystal arthropathies, right elbow
	右側肘部，其他特定的結晶性關節病變
   M11822	Other specified crystal arthropathies, left elbow
	左側肘部，其他特定的結晶性關節病變
   M11829	Other specified crystal arthropathies, unspecified elbow
	未特定側性肘部，其他特定的結晶性關節病變
  M1183	Other specified crystal arthropathies, wrist
	腕部，其他特定的結晶性關節病變
   M11831	Other specified crystal arthropathies, right wrist
	右側腕部，其他特定的結晶性關節病變
   M11832	Other specified crystal arthropathies, left wrist
	左側腕部，其他特定的結晶性關節病變
   M11839	Other specified crystal arthropathies, unspecified wrist
	未特定側性腕部，其他特定的結晶性關節病變
  M1184	Other specified crystal arthropathies, hand
	手部，其他特定的結晶性關節病變
   M11841	Other specified crystal arthropathies, right hand
	右側手部，其他特定的結晶性關節病變
   M11842	Other specified crystal arthropathies, left hand
	左側手部，其他特定的結晶性關節病變
   M11849	Other specified crystal arthropathies, unspecified hand
	未特定側性手部，其他特定軟骨鈣化症
  M1185	Other specified crystal arthropathies, hip
	髖部，其他特定的結晶性關節病變
   M11851	Other specified crystal arthropathies, right hip
	右側髖部，其他特定的結晶性關節病變
   M11852	Other specified crystal arthropathies, left hip
	左側髖部，其他特定的結晶性關節病變
   M11859	Other specified crystal arthropathies, unspecified hip
	未特定側性髖部，其他特定的結晶性關節病變
  M1186	Other specified crystal arthropathies, knee
	膝部，其他特定的結晶性關節病變
   M11861	Other specified crystal arthropathies, right knee
	右側膝部，其他特定的結晶性關節病變
   M11862	Other specified crystal arthropathies, left knee
	左側膝部，其他特定的結晶性關節病變
   M11869	Other specified crystal arthropathies, unspecified knee
	未特定側性膝部，其他特定的結晶性關節病變
  M1187	Other specified crystal arthropathies, ankle and foot
	踝部及足部，其他特定的結晶性關節病變
   M11871	Other specified crystal arthropathies, right ankle and foot
	右側踝及足部，其他特定的結晶性關節病變
   M11872	Other specified crystal arthropathies, left ankle and foot
	左側踝及足部，其他特定的結晶性關節病變
   M11879	Other specified crystal arthropathies, unspecified ankle and foot
	未特定側性踝及足部，其他特定軟骨鈣化症
  M1188	Other specified crystal arthropathies, vertebrae
	脊椎，其他特定的結晶性關節病變
  M1189	Other specified crystal arthropathies, multiple sites
	多處部位，其他特定的結晶性關節病變
 M119	Crystal arthropathy, unspecified
	結晶性關節病變，未特定
M12	Other and unspecified arthropathy
	其他特定的關節病變
 M120	Chronic postrheumatic arthropathy [Jaccoud]
	慢性風濕後關節病變[Jaccoud 氏]
  M1200	Chronic postrheumatic arthropathy [Jaccoud], unspecified site
	未特定部位，慢性風濕後關節病變[Jaccoud 氏]
  M1201	Chronic postrheumatic arthropathy [Jaccoud], shoulder
	肩部，慢性風濕後關節病變[Jaccoud 氏]
   M12011	Chronic postrheumatic arthropathy [Jaccoud], right shoulder
	右側肩部，慢性風濕後關節病變[Jaccoud 氏]
   M12012	Chronic postrheumatic arthropathy [Jaccoud], left shoulder
	左側肩部，慢性風濕後關節病變[Jaccoud 氏]
   M12019	Chronic postrheumatic arthropathy [Jaccoud], unspecified shoulder
	未特定側性肩部，慢性風濕後關節病變[Jaccoud 氏]
  M1202	Chronic postrheumatic arthropathy [Jaccoud], elbow
	肘部，慢性風濕後關節病變[Jaccoud 氏]
   M12021	Chronic postrheumatic arthropathy [Jaccoud], right elbow
	右側肘部，慢性風濕後關節病變[Jaccoud 氏]
   M12022	Chronic postrheumatic arthropathy [Jaccoud], left elbow
	左側肘部，慢性風濕後關節病變[Jaccoud 氏]
   M12029	Chronic postrheumatic arthropathy [Jaccoud], unspecified elbow
	未特定側性肘部，慢性風濕後關節病變[Jaccoud 氏]
  M1203	Chronic postrheumatic arthropathy [Jaccoud], wrist
	腕部，慢性風濕後關節病變[Jaccoud 氏]
   M12031	Chronic postrheumatic arthropathy [Jaccoud], right wrist
	右側腕部，慢性風濕後關節病變[Jaccoud 氏]
   M12032	Chronic postrheumatic arthropathy [Jaccoud], left wrist
	左側腕部，慢性風濕後關節病變[Jaccoud 氏]
   M12039	Chronic postrheumatic arthropathy [Jaccoud], unspecified wrist
	未特定側性腕部，慢性風濕後關節病變[Jaccoud 氏]
  M1204	Chronic postrheumatic arthropathy [Jaccoud], hand
